timestamp,open_price,high_price,low_price,close_price,volume
2025-06-20 11:00:00,1.3171,1.3192,1.3127,1.3172,660077
2025-06-20 12:00:00,1.3172,1.3294,1.3161,1.3288,1163351
2025-06-20 13:00:00,1.3289,1.3338,1.3201,1.3256,1118859
2025-06-20 14:00:00,1.3255,1.3286,1.2926,1.2944,2477883
2025-06-20 15:00:00,1.2943,1.3044,1.2847,1.2912,2279462
2025-06-20 16:00:00,1.2913,1.2927,1.2622,1.2649,2792312
2025-06-20 17:00:00,1.2650,1.2700,1.2223,1.2491,6316508
2025-06-20 18:00:00,1.2490,1.2648,1.2483,1.2592,2183299
2025-06-20 19:00:00,1.2592,1.2609,1.2436,1.2567,1400100
2025-06-20 20:00:00,1.2568,1.2736,1.2565,1.2657,1019655
2025-06-20 21:00:00,1.2658,1.2661,1.2497,1.2504,829647
2025-06-20 22:00:00,1.2504,1.2504,1.2304,1.2384,1730073
2025-06-20 23:00:00,1.2385,1.2467,1.2342,1.2432,1004240
2025-06-21 00:00:00,1.2432,1.2558,1.2404,1.2551,939058
2025-06-21 01:00:00,1.2552,1.2665,1.2547,1.2628,1510636
2025-06-21 02:00:00,1.2630,1.2644,1.2572,1.2573,653510
2025-06-21 03:00:00,1.2574,1.2601,1.2502,1.2519,928496
2025-06-21 04:00:00,1.2520,1.2581,1.2505,1.2540,577589
2025-06-21 05:00:00,1.2540,1.2642,1.2529,1.2616,858646
2025-06-21 06:00:00,1.2617,1.2674,1.2561,1.2660,446130
2025-06-21 07:00:00,1.2662,1.2728,1.2621,1.2698,914828
2025-06-21 08:00:00,1.2698,1.2729,1.2592,1.2701,757534
2025-06-21 09:00:00,1.2701,1.2701,1.2590,1.2633,768983
2025-06-21 10:00:00,1.2633,1.2682,1.2575,1.2588,701120
2025-06-21 11:00:00,1.2588,1.2697,1.2576,1.2656,773763
2025-06-21 12:00:00,1.2655,1.2701,1.2520,1.2542,1019093
2025-06-21 13:00:00,1.2541,1.2605,1.2400,1.2437,1533563
2025-06-21 14:00:00,1.2436,1.2503,1.2345,1.2379,1596078
2025-06-21 15:00:00,1.2379,1.2443,1.2309,1.2437,1562866
2025-06-21 16:00:00,1.2438,1.2523,1.2388,1.2491,1037474
2025-06-21 17:00:00,1.2490,1.2563,1.2313,1.2378,1496928
2025-06-21 18:00:00,1.2376,1.2468,1.2325,1.2365,1267443
2025-06-21 19:00:00,1.2364,1.2418,1.2232,1.2260,1473979
2025-06-21 20:00:00,1.2259,1.2418,1.2234,1.2307,1570812
2025-06-21 21:00:00,1.2307,1.2338,1.1500,1.1715,7179070
2025-06-21 22:00:00,1.1717,1.1940,1.1713,1.1869,1966136
2025-06-21 23:00:00,1.1869,1.1987,1.1732,1.1969,3370026
2025-06-22 00:00:00,1.1970,1.2172,1.1917,1.2089,2688566
2025-06-22 01:00:00,1.2090,1.2176,1.1940,1.1941,1929100
2025-06-22 02:00:00,1.1942,1.2028,1.1692,1.1822,2423712
2025-06-22 03:00:00,1.1822,1.1847,1.1621,1.1718,1777160
2025-06-22 04:00:00,1.1718,1.1890,1.1677,1.1845,1728745
2025-06-22 05:00:00,1.1844,1.1897,1.1687,1.1823,1221862
2025-06-22 06:00:00,1.1823,1.1931,1.1766,1.1900,1269912
2025-06-22 07:00:00,1.1901,1.1953,1.1825,1.1912,1256433
2025-06-22 08:00:00,1.1912,1.1946,1.1841,1.1900,1084439
2025-06-22 09:00:00,1.1900,1.1941,1.1717,1.1728,1889734
2025-06-22 10:00:00,1.1728,1.1879,1.1696,1.1838,1244996
2025-06-22 11:00:00,1.1836,1.1959,1.1819,1.1866,1090429
2025-06-22 12:00:00,1.1866,1.1970,1.1746,1.1947,1590323
2025-06-22 13:00:00,1.1947,1.2000,1.1377,1.1651,9245869
2025-06-22 14:00:00,1.1652,1.1957,1.1486,1.1939,5015936
2025-06-22 15:00:00,1.1939,1.1947,1.1644,1.1682,2586733
2025-06-22 16:00:00,1.1681,1.1710,1.1315,1.1380,4119377
